测点名称    
J7point(N)

位置初始值(mm)
0.0338  
速度初始值(mm/d)
0       

观测噪声协方差(mm^2)  状态噪声协方差(mm^2)
3.404                   0.308   

状态模型    
常速度模型   

滤波方法    
抗差Kalman滤波

监测期号    原始坐标序列(mm)    滤波值(mm)    预测值(mm) 
578            3.462            3.3349         3.3223         
579            3.448            3.3621         3.3587         
580            2.435            3.2335         3.3883         
581            1.92             3.0371         3.2367         
582            3.874            3.1508         3.0082         
583            3.461            3.1941         3.1428         
584            3.656            3.2635         3.1938         
585            3.094            3.2427         3.2745         
586            3.661            3.3085         3.2494         
587            2.978            3.2659         3.3255         
588            2.053            3.0635         3.2832         
589            3.718            3.1633         3.038          
590            3.579            3.2289         3.1559         
591            3.562            3.2845         3.2325         
592            2.887            3.2261         3.2967         
593            3.351            3.2466         3.228          
594            3.134            3.2311         3.2516         
595            2.53             3.1239         3.2332         
596            2.53             3.044          3.1234         
597            1.832            2.867          3.0162         
598            2.153            2.745          2.8128         
599            3.591            2.8335         2.6753         
600            4.016            2.9798         2.784          
601            3.328            3.0207         2.9587         
602            3.357            3.064          3.0081         
603            3.278            3.0933         3.0596         
604            2.811            3.053          3.0941         
605            1.691            2.8793         3.0525         
606            0.6              2.6938         2.8771         
607            2.749            2.6717         2.6285         
608            3.982            2.8071         2.6081         
609            3.742            2.9124         2.7722         
610            4.811            3.1585         2.8986         
611            3.126            3.167          3.1883         
612            3.503            3.2261         3.1957         
613            3.504            3.2812         3.2625         
614            2.573            3.1975         3.3238         
615            2.211            3.0689         3.2106         
616            2.211            2.9538         3.0705         
617            3.746            3.0527         2.9421         
618            3.939            3.172          3.0527         
619            4.673            3.3872         3.1923         
620            3.878            3.4796         3.4423         
621            3.792            3.5524         3.5457         
622            3.207            3.5338         3.6252         
623            2.759            3.4481         3.5973         
624            2.991            3.3997         3.492          
625            4.24             3.5376         3.4319         
626            4.143            3.6498         3.59           
627            4.368            3.7852         3.7164         
628            3.769            3.8182         3.8685         
629            3.848            3.8575         3.9002         
630            3.313            3.8106         3.9392         
631            2.842            3.6939         3.878          
632            3.198            3.6376         3.7367         
633            4.767            3.8201         3.6678         
634            5.487            4.0949         3.8775         
635            5.577            4.3589         4.1923         
636            5.284            4.5542         4.4914         
637            4.731            4.646          4.7077         
638            3.841            4.5913         4.8019         
639            3.439            4.4752         4.7256         
640            3.802            4.4185         4.5798         
641            3.802            4.3381         4.419          
642            4.897            4.4444         4.4115         
643            5.287            4.5957         4.5296         
644            5.331            4.7419         4.6989         
645            5.574            4.9099         4.8608         
646            5.124            4.9992         5.047          
647            3.972            4.9113         5.1397         
648            4.008            4.8287         5.0255         
649            4.102            4.7609         4.9195         
650            5.941            4.9604         4.8258         
651            4.527            5.0603         5.5688         
652            4.22             4.883          5.1302         
653            5.541            5.0149         4.8875         
654            5.622            5.1452         5.0631         
655            5.421            5.2254         5.2227         
656            5.248            5.2622         5.3047         
657            5.563            5.3315         5.3148         
658            4.947            5.3429         5.5303         
659            4.325            5.1949         5.4149         
660            4.011            5.0132         5.2389         
661            4.54             4.9409         5.0264         
662            5.532            5.0365         4.942          
663            7.349            5.2758         5.04           
664            7.349            5.5131         5.2767         
665            7.349            5.7209         5.5148         
666            4.807            5.6582         5.8116         
667            5.923            5.7352         5.7623         
668            5.735            5.7827         5.8434         
669            4.481            5.6653         5.8898         
670            4.467            5.5425         5.7405         
671            4.467            5.4191         5.5441         
672            4.494            5.3198         5.4475         
673            5.169            5.3045         5.3283         
674            5.365            5.3139         5.3085         
675            7.192            5.5324         5.3152         
676            6.09             5.6199         5.5772         
677            5.948            5.6862         5.6763         
678            5.924            5.7449         5.7493         
679            4.541            5.6109         5.8128         
680            4.429            5.463          5.6494         
681            4.68             5.3558         5.4724         
682            5.461            5.3668         5.3459         
683            5.755            5.4204         5.3595         
684            6.036            5.5123         5.4229         
685            5.623            5.5363         5.53           
686            5.477            5.536          5.5565         
687            4.716            5.4211         5.5546         
688            4.371            5.2626         5.4191         
689            4.377            5.1176         5.2347         
690            5.438            5.1448         5.0683         
691            5.599            5.1958         5.104          
692            5.502            5.2295         5.1666         
693            5.596            5.2755         5.2081         
694            5.532            5.3089         5.2634         
695            4.537            5.1905         5.3032         
696            4.755            5.1147         5.166          
697            5.144            5.1043         5.0798         
698            6.05             5.232          5.0706         
699            6.565            5.4528         5.2116         
700            6.261            5.5997         5.4797         
701            6.219            5.7217         5.6479         
702            4.725            5.5873         5.7855         
703            4.702            5.462          5.6247         
704            4.596            5.332          5.4766         
705            5.697            5.3858         5.3248         
706            6.35             5.5354         5.3877         
707            6.286            5.6613         5.561          
708            5.772            5.7866         5.9233         
709            6.237            5.9126         5.8295         
710            5.669            5.8817         5.9702         
711            5.09             5.742          5.931          
712            6.139            5.8273         5.7682         
713            4.608            5.6249         5.8637         
714            4.613            5.4541         5.6297         
715            4.536            5.2941         5.4338         
716            5.441            5.2999         5.2517         
717            5.762            5.3566         5.2616         
718            5.066            5.3002         5.3298         
719            5.951            5.3859         5.2668         
720            6.012            5.4739         5.3685         
721            4.422            5.3136         5.4718         
722            4.762            5.2186         5.2861         
723            5.096            5.1829         5.178          
724            6.968            5.4335         5.1398         
725            6.513            5.5966         5.4347         
726            6.946            5.8117         5.6243         
727            7.769            6.1207         5.8615         
728            5.632            6.0647         6.1397         
729            6.518            6.1673         6.1612         
730            4.924            6.0426         6.2728         
731            4.862            5.9106         6.1184         
732            5.198            5.83           5.9578         
733            6.388            5.9228         5.8597         
734            6.804            6.069          5.9656         
735            6.319            6.1328         6.1328         
736            6.466            6.2115         6.2019         
737            6.392            6.2708         6.2879         
738            4.657            6.0641         6.3508         
739            4.665            5.8713         6.1032         
740            5.402            5.8025         5.8753         
741            7.69             6.0831         5.7949         
742            7.236            6.2732         6.1221         
743            6.865            6.3908         6.3402         
744            6.758            6.4804         6.4716         
745            6.635            6.5414         6.5692         
746            4.977            6.3446         6.633          
747            4.957            6.1577         6.3966         
748            5.618            6.0838         6.175          
749            7.661            6.3229         6.0876         
750            7.726            6.5521         6.3653         
751            7.685            6.755          6.6284         
752            7.146            6.8576         6.8581         
753            7.092            6.9402         6.969          
754            5.458            6.7665         7.056          
755            5.369            6.5895         6.8446         
756            5.711            6.4756         6.6324         
757            7.101            6.5786         6.4966         
758            7.164            6.6819         6.6145         
759            7.726            6.8601         6.7317         
