APPROX_POSITION£º  -2279828.8823,   5004706.5099,   3219777.4476  (m)
PRN,s:, Satposition(X),   Satposition(Y),   Satposition(Z),      Sat Clock(m),   Elevation(¡ã),             CL(m),       Trop Delay(m)
Satellite Number:  9,  GPS time£º  91290
Satellite Number:  10,  GPS time£º  91500
G13,   -25940485.2540 ,    4881743.9149 ,    3451180.9145 ,       14190.9329 ,        20.9778 ,   23647894.7501 ,        6.3885 
G12,    11983040.4397 ,   11227178.0387 ,   20877706.8969 ,       52656.4065 ,        21.8266 ,   23483539.5081 ,        6.1557 
G05,     3520046.4360 ,   24416891.8400 ,   -9672392.4955 ,     -118312.5983 ,        15.9550 ,   24132496.1951 ,        8.2663 
G23,   -22793593.3635 ,   -1828129.1657 ,   13937652.4917 ,        5744.3172 ,        17.8861 ,   24126679.5311 ,        7.4217 
G17,   -17792672.2718 ,   15299666.7519 ,   12444447.2954 ,      -15738.6648 ,        61.7036 ,   20793812.1951 ,        2.6186 
G04,    -5105920.2029 ,   15318474.6759 ,   20745629.8856 ,        1324.8616 ,        61.2168 ,   20529538.6721 ,        2.6306 
G28,   -12686814.3816 ,   18961460.5671 ,  -12858010.4050 ,       95550.9593 ,        15.9059 ,   23602374.6091 ,        8.2903 
G20,   -14898845.8068 ,   -7168511.8184 ,   20608315.9720 ,       44011.7117 ,         8.8348 ,   24649874.8911 ,       14.3248 
G10,    -9103519.3426 ,   23549984.7981 ,    7177594.9162 ,      -32079.8264 ,        70.4016 ,   20185354.4771 ,        2.4479 
G02,    10088375.2927 ,   20558448.3230 ,   14116959.9248 ,      140433.9652 ,        35.9643 ,   22523217.2971 ,        3.9180 
Satellite Number:  10,  GPS time£º  91530
G13,   -25928960.2240 ,    4871985.1274 ,    3546177.6454 ,       14190.8728 ,        21.0821 ,   23637541.9381 ,        6.3589 
G12,    11967020.9108 ,   11304990.4654 ,   20845569.0951 ,       52656.5043 ,        21.9717 ,   23470444.6251 ,        6.1178 
G05,     3505910.2278 ,   24451981.1838 ,   -9587695.4205 ,     -118312.6054 ,        16.1567 ,   24112146.8911 ,        8.1689 
G23,   -22746957.4784 ,   -1852650.5828 ,   14009716.5864 ,        5744.2560 ,        17.8883 ,   24126151.3201 ,        7.4208 
G17,   -17838659.8965 ,   15308622.5323 ,   12365137.5542 ,      -15738.7110 ,        61.5867 ,   20797577.0861 ,        2.6214 
G04,    -5171907.9279 ,   15270439.7998 ,   20765151.4811 ,        1324.8934 ,        61.1835 ,   20531327.4611 ,        2.6315 
G28,   -12681856.9325 ,   18909186.0919 ,  -12936482.7065 ,       95550.9888 ,        15.6845 ,   23622829.1641 ,        8.4007 
G20,   -14889391.0402 ,   -7248122.3832 ,   20587716.8132 ,       44011.7187 ,         8.6487 ,   24669915.0080 ,       14.6029 
G10,    -9109599.6780 ,   23519418.9827 ,    7266845.5951 ,      -32079.8403 ,        70.6693 ,   20177033.7581 ,        2.4439 
G02,    10042601.6271 ,   20532382.0255 ,   14187088.4639 ,      140433.9610 ,        36.0794 ,   22514235.1021 ,        3.9073 
Satellite Number:  10,  GPS time£º  91560
G13,   -25917109.0934 ,    4862105.8541 ,    3641106.9155 ,       14190.8332 ,        21.1859 ,   23627251.2581 ,        6.3297 
G12,    11951169.8759 ,   11382710.3570 ,   20813032.2681 ,       52656.4967 ,        22.1161 ,   23457432.6721 ,        6.0804 
G05,     3491876.0796 ,   24486777.6578 ,   -9502813.4264 ,     -118312.5556 ,        16.3584 ,   24091828.1411 ,        8.0738 
G23,   -22700113.2281 ,   -1877350.7608 ,   14081518.9326 ,        5744.1719 ,        17.8895 ,   24125709.0631 ,        7.4203 
G17,   -17884352.2259 ,   15317559.0496 ,   12285591.0346 ,      -15738.7739 ,        61.4685 ,   20801415.2501 ,        2.6244 
G04,    -5238028.3401 ,   15222465.5639 ,   20784263.0853 ,        1324.9000 ,        61.1494 ,   20533156.9451 ,        2.6323 
G28,   -12676936.2215 ,   18856602.7507 ,  -13014696.5256 ,       95550.9984 ,        15.4634 ,   23643301.3201 ,        8.5140 
G20,   -14880066.1644 ,   -7327667.7710 ,   20566717.2250 ,       44011.7239 ,         8.4628 ,   24689968.2421 ,       14.8914 
G10,    -9115677.3329 ,   23488525.7195 ,    7355952.0776 ,      -32079.8537 ,        70.9371 ,   20168822.3831 ,        2.4400 
G02,     9996576.7650 ,   20506236.4918 ,   14256955.5497 ,      140433.9788 ,        36.1944 ,   22505271.9921 ,        3.8967 
Satellite Number:  10,  GPS time£º  91590
G13,   -25904932.5315 ,    4852104.8045 ,    3735966.9149 ,       14190.8157 ,        21.2891 ,  23617021.4221 ,         6.3010 
